iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
71,2.2827222606212246E8,1.7096766666666666E8,2.05577E8,1.616086E8,1.6065126666666666E8,1.6342153333333334E8,1.3713946666666666E8
72,2.1308246666666666E8,1.682696E8,1.675406E8,1.6123213333333334E8,1.596262E8,1.5984873333333334E8,1.3713946666666666E8
73,2.979712666666667E8,2.1686933333333334E8,1.733682E8,1.5743933333333334E8,1.622912E8,1.6279306666666666E8,1.3713946666666666E8
74,3.8506450336599505E8,2.56111E8,1.6634946666666666E8,1.6118026666666666E8,1.6210506666666666E8,1.6143033333333334E8,1.3713946666666666E8
75,2.4303726666666666E8,2.265418E8,2.311573271956294E8,1.650036E8,1.5704853333333334E8,1.65503E8,1.3713946666666666E8
76,3.671302088808186E8,2.2542713333333334E8,2.520382E8,1.665626E8,1.5904093333333334E8,1.6247506666666666E8,1.3713946666666666E8
77,2.875347695070254E8,2.2116786666666666E8,1.6426206666666666E8,1.5912286666666666E8,1.5792313333333334E8,1.61011E8,1.3713946666666666E8
78,4.279324666666667E8,2.1287366666666666E8,1.6257033333333334E8,1.63124E8,1.5865893333333334E8,1.6528706666666666E8,1.3713946666666666E8
79,3.334951333333333E8,2.762980666666667E8,1.711628E8,2.1647693333333334E8,1.5670926666666666E8,1.597382E8,1.3713946666666666E8
80,1.6297753333333334E8,1.6066853333333334E8,1.5896753333333334E8,1.5794546666666666E8,1.5998853333333334E8,1.6174446666666666E8,1.3713946666666666E8
81,1.6183166666666666E8,1.6251666666666666E8,1.9656666666666666E8,1.5966926666666666E8,1.56534E8,1.6127926666666666E8,1.3713946666666666E8
82,2.2909586666666666E8,1.619068E8,2.002158E8,1.6004386666666666E8,1.564014E8,1.609972E8,1.3713946666666666E8
83,3.599408E8,2.1481306666666666E8,1.5979993333333334E8,1.565312E8,1.6180986666666666E8,1.6175806666666666E8,1.3713946666666666E8
84,2.085444E8,1.6111553333333334E8,2.0895213333333334E8,1.5731246666666666E8,1.562058E8,1.6057686666666666E8,1.3713946666666666E8
85,2.1999506666666666E8,1.5725006666666666E8,1.5247253333333334E8,1.6085773333333334E8,1.5623226666666666E8,1.5840866666666666E8,1.3713946666666666E8
86,1.5746993333333334E8,2.0999766666666666E8,1.5535793333333334E8,1.58339E8,1.5396333333333334E8,1.6029186666666666E8,1.3713946666666666E8
87,1.5804666666666666E8,2.49422E8,1.5005433333333334E8,1.527574E8,1.597116E8,1.616338E8,1.3713946666666666E8
88,5.118032E8,1.5814413333333334E8,1.496606E8,1.5605046666666666E8,1.5593993333333334E8,1.6347473333333334E8,1.3713946666666666E8
89,1.9870766666666666E8,1.5901193333333334E8,1.5259826666666666E8,1.553616E8,1.5732933333333334E8,1.635778E8,1.3713946666666666E8
90,2.708422E8,1.5865486666666666E8,1.5503786666666666E8,2.182988E8,1.5217366666666666E8,1.6309146666666666E8,1.3713946666666666E8
91,1.5230166666666666E8,2.153112E8,2.0446787008412653E8,1.56163E8,1.5251793333333334E8,1.6280253333333334E8,1.3713946666666666E8
92,1.4645013333333334E8,2.099974E8,1.5590246666666666E8,1.5465766666666666E8,1.516646E8,1.6065266666666666E8,1.3713946666666666E8
93,1.46067E8,1.5392106666666666E8,2.026502E8,1.5380833333333334E8,1.4980773333333334E8,1.618884E8,1.3713946666666666E8
94,1.5145033333333334E8,1.4858693333333334E8,1.5404773333333334E8,1.520412E8,1.5186946666666666E8,1.598868E8,1.3713946666666666E8
95,1.4491366666666666E8,1.511672E8,1.514278E8,1.5224233333333334E8,1.52936E8,1.6418233333333334E8,1.3713946666666666E8
96,2.095972E8,1.4997633333333334E8,1.9143133333333334E8,1.5207953333333334E8,1.524742E8,1.6091E8,1.3713946666666666E8
97,1.4813033333333334E8,1.5189453333333334E8,1.4642413333333334E8,1.58664E8,1.5427593333333334E8,1.6071766666666666E8,1.3713946666666666E8
98,2.5811466666666666E8,1.4865933333333334E8,1.8783433333333334E8,1.506916E8,1.4885213333333334E8,1.6355526666666666E8,1.3713946666666666E8
99,1.996943284622954E8,1.8508166666666666E8,1.8704726666666666E8,1.5652306666666666E8,1.4807113333333334E8,1.5937913333333334E8,1.3713946666666666E8
100,1.8342566666666666E8,1.44313E8,1.4593686666666666E8,1.5663746666666666E8,1.4600593333333334E8,1.6096513333333334E8,1.3713946666666666E8
101,1.4322633333333334E8,1.4554073333333334E8,1.4197586666666666E8,1.5438926666666666E8,1.49663E8,1.592636E8,1.3713946666666666E8
102,1.3920873333333334E8,1.8422026666666666E8,1.431296E8,1.5058093333333334E8,1.48254E8,1.5926606666666666E8,1.3713946666666666E8
103,2.6640962041702715E8,1.4177106666666666E8,1.44997E8,1.5516573333333334E8,1.488664E8,1.6149373333333334E8,1.3713946666666666E8
104,1.378492E8,1.432734E8,1.4190633333333334E8,1.504204E8,1.5040346666666666E8,1.5718473333333334E8,1.3713946666666666E8
105,2.0255046666666666E8,1.446816E8,1.3955306666666666E8,1.5433133333333334E8,1.465554E8,1.615444E8,1.3713946666666666E8
106,1.8081393333333334E8,1.83432E8,1.4173933333333334E8,1.5115286666666666E8,1.5047673333333334E8,1.6207806666666666E8,1.3713946666666666E8
107,1.4254506666666666E8,1.4273726666666666E8,1.378254E8,1.4714266666666666E8,1.4524626666666666E8,1.6143213333333334E8,1.3713946666666666E8
108,2.4904543931730762E8,1.3964353333333334E8,1.427544E8,1.4635933333333334E8,1.4769766666666666E8,1.6243526666666666E8,1.3686746666666666E8
109,1.3658806666666666E8,1.4173533333333334E8,1.365144E8,1.4589753333333334E8,1.5035553333333334E8,1.585666E8,1.3686746666666666E8
110,1.9782786666666666E8,1.4454766666666666E8,1.4514313333333334E8,1.4643053333333334E8,1.470692E8,1.6030806666666666E8,1.3686746666666666E8
111,1.349134E8,1.3756206666666666E8,1.4105673333333334E8,1.443018E8,1.468554E8,1.6236466666666666E8,1.3686746666666666E8
112,1.3680226666666666E8,1.393712E8,1.3506033333333334E8,1.4508026666666666E8,1.4598933333333334E8,1.57298E8,1.3686746666666666E8
113,1.3449246666666666E8,1.3609253333333334E8,1.3603373333333334E8,1.466754E8,1.4485106666666666E8,1.5549886666666666E8,1.3686746666666666E8
114,2.5642926666666666E8,1.3775886666666666E8,1.3745726666666666E8,1.4814226666666666E8,1.441394E8,1.5860133333333334E8,1.3686746666666666E8
115,1.361226E8,1.3779786666666666E8,1.3743973333333334E8,1.4490133333333334E8,1.399656E8,1.5934406666666666E8,1.3686746666666666E8
116,1.3535906666666666E8,1.3766506666666666E8,1.34054E8,1.4871906666666666E8,1.48596E8,1.5880173333333334E8,1.3675533333333334E8
117,1.9270426666666666E8,1.3722486666666666E8,1.3799066666666666E8,1.4513086666666666E8,1.4643206666666666E8,1.605246E8,1.3589226666666666E8
118,1.896494E8,1.3679393333333334E8,1.3655873333333334E8,1.4550553333333334E8,1.42356E8,1.631294E8,1.3589226666666666E8
119,1.3476546666666666E8,1.3233033333333333E8,1.3315286666666667E8,1.4742153333333334E8,1.4392933333333334E8,1.5884933333333334E8,1.351528E8
120,1.7730506666666666E8,1.33959E8,1.3904513333333334E8,1.4263713333333334E8,1.4445593333333334E8,1.56479E8,1.342558E8
121,2.698371333333333E8,1.3435386666666666E8,1.3467893333333334E8,1.4598446666666666E8,1.412226E8,1.6094966666666666E8,1.331818E8
122,1.8234173333333334E8,1.330822E8,1.9438853333333334E8,1.456196E8,1.4336846666666666E8,1.5595066666666666E8,1.3204393333333333E8
123,1.2934753333333333E8,1.3407346666666667E8,1.3785206666666666E8,1.421424E8,1.415196E8,1.605764E8,1.313026E8
124,1.2745286666666667E8,2.0391066666666666E8,1.3229533333333333E8,1.433662E8,1.4123593333333334E8,1.5834666666666666E8,1.306324E8
125,2.3669486666666666E8,1.3091726666666667E8,1.356698E8,1.3940693333333334E8,1.40499E8,1.574012E8,1.3020946666666667E8
126,1.2872113333333333E8,1.3072113333333333E8,1.334416E8,1.4731746666666666E8,1.3653213333333334E8,1.579632E8,1.3014673333333333E8
127,1.8307766666666666E8,1.32045E8,1.302686E8,1.4625793333333334E8,1.3605966666666666E8,1.5708466666666666E8,1.2951473333333333E8
128,1.813018E8,1.3336666666666667E8,1.3300786666666667E8,1.4068626666666666E8,1.4176693333333334E8,1.5881473333333334E8,1.2927973333333333E8
129,2.2546486666666666E8,1.347484E8,1.3249713333333333E8,1.3790366666666666E8,1.372284E8,1.566598E8,1.29034E8
130,1.8539193333333334E8,1.3130646666666667E8,1.3359733333333333E8,1.8845E8,1.40698E8,1.6016253333333334E8,1.29034E8
131,1.3072273333333333E8,1.3018473333333333E8,1.3192366666666667E8,1.4117713333333334E8,1.40168E8,1.544648E8,1.29034E8
132,1.2913526666666667E8,1.283066E8,1.2863293333333333E8,1.4140393333333334E8,1.395616E8,1.561004E8,1.2854013333333333E8
133,2.2563466666666666E8,1.3065E8,1.283976E8,1.367286E8,1.3625306666666666E8,1.5646346666666666E8,1.2854013333333333E8
134,2.0635606666666666E8,1.2691213333333333E8,1.301332E8,1.4042046666666666E8,1.38694E8,1.5416566666666666E8,1.2854013333333333E8
135,1.2399473333333333E8,1.2840133333333333E8,1.2773973333333333E8,1.4361553333333334E8,1.3739286666666666E8,1.538136E8,1.283164E8
136,1.9462393333333334E8,1.252328E8,1.3006893333333333E8,1.382636E8,1.366066E8,1.5352746666666666E8,1.2829986666666667E8
137,1.8842553333333334E8,1.2418106666666667E8,1.7667173333333334E8,1.3727933333333334E8,1.3426813333333334E8,1.5589473333333334E8,1.2802786666666667E8
138,1.2452593333333333E8,1.2589166666666667E8,1.2992753333333333E8,1.3649893333333334E8,1.3661826666666666E8,1.5275033333333334E8,1.2767266666666667E8
139,1.2569406666666667E8,1.2679386666666667E8,1.249488E8,1.3851386666666666E8,1.301984E8,1.561866E8,1.2767266666666667E8
140,1.2529846666666667E8,1.2453906666666667E8,1.278738E8,1.3755953333333334E8,1.346108E8,1.5675366666666666E8,1.2767266666666667E8
141,1.2271406666666667E8,1.2601593333333333E8,1.2499193333333333E8,1.3688606666666666E8,1.306152E8,1.5653293333333334E8,1.2767266666666667E8
142,1.242576E8,1.287204E8,1.2159833333333333E8,1.3589873333333334E8,1.3247133333333333E8,1.52855E8,1.2767266666666667E8
143,1.2347506666666667E8,1.229368E8,1.243236E8,1.35324E8,1.340762E8,1.55719E8,1.2767266666666667E8
144,1.2801813333333333E8,1.2395046666666667E8,1.29092E8,1.3293526666666667E8,1.3166153333333333E8,1.5417566666666666E8,1.2767266666666667E8
145,1.233132E8,1.252514E8,1.3048066666666667E8,1.340828E8,1.3343926666666667E8,1.5572566666666666E8,1.2767266666666667E8
146,1.2262406666666667E8,1.2535593333333333E8,1.2307353333333333E8,1.3604853333333334E8,1.3310526666666667E8,1.5330906666666666E8,1.2767266666666667E8
147,1.223196E8,1.2144106666666667E8,1.2203266666666667E8,1.3447933333333334E8,1.3022426666666667E8,1.5249813333333334E8,1.27606E8
148,1.1742593333333333E8,1.2033966666666667E8,1.2418293333333333E8,1.2952106666666667E8,1.342584E8,1.4792793333333334E8,1.27606E8
149,1.1946873333333333E8,1.2378373333333333E8,1.2195973333333333E8,1.3203126666666667E8,1.31415E8,1.520444E8,1.27606E8
150,1.20152E8,1.2596566666666667E8,1.2301826666666667E8,1.3297826666666667E8,1.328352E8,1.5024873333333334E8,1.27606E8
151,1.8581793333333334E8,1.226188E8,1.2330266666666667E8,1.321018E8,1.354304E8,1.5084806666666666E8,1.27606E8
152,1.2120053333333333E8,1.2393886666666667E8,1.1969566666666667E8,1.3406033333333333E8,1.3426586666666666E8,1.4869E8,1.27606E8
153,1.1995033333333333E8,1.2411133333333333E8,1.2586526666666667E8,1.3066946666666667E8,1.3121346666666667E8,1.485758E8,1.27606E8
154,1.766504E8,1.190764E8,1.2346993333333333E8,1.3776566666666666E8,1.2928626666666667E8,1.5150173333333334E8,1.27606E8
155,1.18906E8,1.2229053333333333E8,1.2370126666666667E8,1.339078E8,1.283466E8,1.4786386666666666E8,1.27606E8
156,1.1771966666666667E8,1.203464E8,1.1972046666666667E8,1.3284486666666667E8,1.3409906666666667E8,1.4745113333333334E8,1.27606E8
157,1.1832926666666667E8,1.2114793333333333E8,1.2220893333333333E8,1.317666E8,1.29695E8,1.4595993333333334E8,1.27606E8
158,1.1767933333333333E8,1.916744E8,1.267676E8,1.3097933333333333E8,1.343252E8,1.4872773333333334E8,1.27606E8
159,1.19023E8,1.1556146666666667E8,1.2349126666666667E8,1.305746E8,1.2630906666666667E8,1.4612113333333334E8,1.27606E8
160,1.1895066666666667E8,1.201898E8,1.1725873333333333E8,1.3103886666666667E8,1.3077273333333333E8,1.471348E8,1.27606E8
161,1.1690886666666667E8,1.22268E8,1.2199866666666667E8,1.310728E8,1.297124E8,1.4641626666666666E8,1.27606E8
162,2.0308866666666666E8,1.2122393333333333E8,1.2216086666666667E8,1.2966106666666667E8,1.27329E8,1.464576E8,1.27606E8
163,1.1599766666666667E8,1.1744046666666667E8,1.1722106666666667E8,1.3128173333333333E8,1.277734E8,1.4655773333333334E8,1.27606E8
164,1.171718E8,1.686812E8,1.1848353333333333E8,1.3252093333333333E8,1.300436E8,1.4268226666666666E8,1.27606E8
165,1.167016E8,1.1867686666666667E8,1.2203966666666667E8,1.300346E8,1.6784566666666666E8,1.4424553333333334E8,1.27606E8
166,1.153084E8,1.18863E8,1.2153206666666667E8,1.2937873333333333E8,1.2378013333333333E8,1.418418E8,1.27606E8
167,1.1645626666666667E8,1.625092E8,1.2059866666666667E8,1.277406E8,1.2929906666666667E8,1.426594E8,1.27606E8
168,1.1640346666666667E8,1.1797606666666667E8,1.179432E8,1.272416E8,1.2676193333333333E8,1.4096633333333334E8,1.27606E8
169,1.1749986666666667E8,1.1377546666666667E8,1.2378693333333333E8,1.2732393333333333E8,1.2546686666666667E8,1.3935793333333334E8,1.27606E8
170,1.1661673333333333E8,1.2057853333333333E8,1.215182E8,1.2746546666666667E8,1.2683326666666667E8,1.416218E8,1.27606E8
171,1.1298033333333333E8,1.165586E8,1.238094E8,1.2984753333333333E8,1.2514966666666667E8,1.3668526666666666E8,1.27606E8
172,1.1547586666666667E8,1.1597106666666667E8,1.17678E8,1.2718573333333333E8,1.3145953333333333E8,1.3613006666666666E8,1.27606E8
173,1.121808E8,1.1742806666666667E8,1.1879066666666667E8,1.2746493333333333E8,1.2995606666666667E8,1.3533633333333334E8,1.27606E8
174,1.1497586666666667E8,1.1503633333333333E8,1.192612E8,1.2958033333333333E8,1.234644E8,1.372786E8,1.27606E8
175,1.1506753333333333E8,1.1703666666666667E8,1.1784073333333333E8,1.23866E8,1.2790646666666667E8,1.3463626666666666E8,1.27606E8
176,1.1402593333333333E8,1.16432E8,1.213608E8,1.2418133333333333E8,1.28046E8,1.319112E8,1.27606E8
177,1.788144E8,1.1746066666666667E8,1.2090826666666667E8,1.2445246666666667E8,1.2619926666666667E8,1.3203733333333333E8,1.27606E8
178,1.139636E8,1.1639926666666667E8,1.1944893333333333E8,1.298436E8,1.2511786666666667E8,1.295832E8,1.27606E8
179,1.1394106666666667E8,1.150536E8,1.179794E8,1.2536433333333333E8,1.2540946666666667E8,1.2823086666666667E8,1.27606E8
180,1.1130193333333333E8,1.717608E8,1.2311733333333333E8,1.255594E8,1.2578986666666667E8,1.2870886666666667E8,1.27606E8
181,1.1354006666666667E8,1.199214E8,1.2357853333333333E8,1.2077073333333333E8,1.2393286666666667E8,1.2812233333333333E8,1.27606E8
182,1.1332326666666667E8,1.1153193333333333E8,1.227784E8,1.2219926666666667E8,1.2537913333333333E8,1.2537346666666667E8,1.27606E8
183,1.130786E8,1.1629673333333333E8,1.1564306666666667E8,1.20626E8,1.2266546666666667E8,1.2176086666666667E8,1.27606E8
184,1.153868E8,1.5357633333333334E8,1.1904066666666667E8,1.2506106666666667E8,1.253428E8,1.240054E8,1.27606E8
185,1.9042866666666666E8,1.6353986666666666E8,1.208068E8,1.2311233333333333E8,1.2410993333333333E8,1.2369966666666667E8,1.27606E8
186,1.1408046666666667E8,1.1187246666666667E8,1.13693E8,1.9538033333333334E8,1.2684593333333333E8,1.2337926666666667E8,1.27606E8
187,1.1413793333333333E8,1.1226333333333333E8,1.1616353333333333E8,1.2440146666666667E8,1.2086053333333333E8,1.2044253333333333E8,1.27606E8
188,1.1435373333333333E8,1.1278686666666667E8,1.1643166666666667E8,1.2091686666666667E8,1.248658E8,1.208012E8,1.27606E8
189,1.122624E8,1.09996E8,1.1928266666666667E8,1.2145186666666667E8,1.2499653333333333E8,1.1764213333333333E8,1.27606E8
