iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
148,4.3583333333333336E7,4.894E7,4.9081666666666664E7,5.275E7,5.2428333333333336E7,6.0048333333333336E7,5.9193333333333336E7
149,4.286E7,4.7466666666666664E7,4.8843333333333336E7,4.9715E7,5.4708333333333336E7,6.0996666666666664E7,5.9193333333333336E7
150,4.2541666666666664E7,4.651E7,4.8451666666666664E7,5.1568333333333336E7,1.2432E8,6.218E7,5.9193333333333336E7
151,4.2371666666666664E7,4.826E7,4.754E7,5.171E7,5.4433333333333336E7,6.0465E7,5.9193333333333336E7
152,4.3858333333333336E7,4.8651666666666664E7,4.8658333333333336E7,5.251E7,5.6645E7,5.9973333333333336E7,5.9193333333333336E7
153,4.1763333333333336E7,4.5668333333333336E7,4.6731666666666664E7,5.0041666666666664E7,5.2993333333333336E7,5.8785E7,5.9193333333333336E7
154,4.2548333333333336E7,4.6791666666666664E7,4.8003333333333336E7,5.0643333333333336E7,5.349E7,6.1571666666666664E7,5.9193333333333336E7
155,4.1678333333333336E7,4.7578333333333336E7,4.9263333333333336E7,5.0866666666666664E7,5.2865E7,5.898E7,5.9193333333333336E7
156,4.1211666666666664E7,4.5098333333333336E7,4.8023333333333336E7,5.0373333333333336E7,5.528E7,5.8476666666666664E7,5.9193333333333336E7
157,4.1786666666666664E7,4.5348333333333336E7,4.7503333333333336E7,5.0883333333333336E7,5.4318333333333336E7,5.7416666666666664E7,5.9193333333333336E7
158,4.2168333333333336E7,4.6045E7,5.0086666666666664E7,4.8971666666666664E7,5.471E7,5.688E7,5.9193333333333336E7
159,4.1836666666666664E7,4.6243333333333336E7,4.7331666666666664E7,4.9325E7,5.1656666666666664E7,5.6685E7,5.9193333333333336E7
160,4.1006666666666664E7,4.524E7,4.6545E7,4.956E7,5.4095E7,5.8593333333333336E7,5.9193333333333336E7
161,4.225E7,4.4438333333333336E7,4.9175E7,5.1321666666666664E7,5.314E7,5.768E7,5.9193333333333336E7
162,4.1868333333333336E7,4.7435E7,4.7251666666666664E7,4.8383333333333336E7,5.2505E7,5.6311666666666664E7,5.9193333333333336E7
163,4.0788333333333336E7,4.5478333333333336E7,4.7945E7,4.9211666666666664E7,5.0191666666666664E7,5.7288333333333336E7,5.9193333333333336E7
164,4.1058333333333336E7,4.3628333333333336E7,4.6413333333333336E7,4.749E7,5.151E7,5.779E7,5.9193333333333336E7
165,4.1278333333333336E7,4.6838333333333336E7,4.7236666666666664E7,4.9386666666666664E7,5.0953333333333336E7,5.479E7,5.9193333333333336E7
166,4.1535E7,4.4231666666666664E7,4.712E7,5.0975E7,5.0568333333333336E7,5.3141666666666664E7,5.9193333333333336E7
