iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
63,4.293588666666667E8,3.144034666666667E8,2.6211426666666666E8,2.703162666666667E8,2.6545653333333334E8,2.5469953333333334E8,2.226542E8
64,2.704230666666667E8,2.736937333333333E8,2.6686026666666666E8,2.6335766666666666E8,2.5489046666666666E8,2.5998186666666666E8,2.226542E8
65,3.569517333333333E8,3.094222E8,2.6207826666666666E8,2.6546786666666666E8,2.701539333333333E8,2.5792233333333334E8,2.226542E8
66,3.72867E8,2.6787033333333334E8,2.65139E8,2.6223673333333334E8,2.5986373333333334E8,2.5536806666666666E8,2.226542E8
67,2.686793333333333E8,2.717502E8,3.344367333333333E8,2.6350366666666666E8,2.5929346666666666E8,2.575716E8,2.226542E8
68,3.319778666666667E8,2.701132E8,2.5728886666666666E8,2.596764E8,2.5852373333333334E8,2.619242E8,2.226542E8
69,4.055713333333333E8,3.24073E8,3.14258E8,2.6825086666666666E8,2.6049246666666666E8,2.5600593333333334E8,2.226542E8
70,4.3601792090917236E8,3.545991333333333E8,3.022652E8,2.6088253333333334E8,2.6163413333333334E8,2.5661986666666666E8,2.226542E8
71,3.798874E8,2.699518E8,2.5878226666666666E8,2.6073153333333334E8,2.5356706666666666E8,2.5858813333333334E8,2.226542E8
72,3.144938666666667E8,4.0519995886864907E8,3.231377333333333E8,2.6093253333333334E8,2.589012E8,2.621394E8,2.226542E8
73,4.0576294688470614E8,3.167686E8,2.598616E8,2.5997366666666666E8,2.5526426666666666E8,2.5600126666666666E8,2.226542E8
74,2.6597873333333334E8,4.354358E8,2.631494E8,2.6439546666666666E8,2.572442E8,2.5355726666666666E8,2.226542E8
75,6.446008666666666E8,2.583168E8,2.5874873333333334E8,2.5773173333333334E8,2.5498946666666666E8,2.5717426666666666E8,2.226542E8
76,2.6121446666666666E8,2.5267806666666666E8,3.157742E8,2.5436893333333334E8,2.5409886666666666E8,2.55677E8,2.226542E8
77,3.229045333333333E8,3.232924E8,3.273997333333333E8,2.59878E8,2.5640833333333334E8,2.550776E8,2.226542E8
78,4.053152E8,2.552064E8,2.622346E8,2.5890246666666666E8,2.56688E8,2.5427053333333334E8,2.226542E8
79,4.136286E8,2.5290693333333334E8,3.043240666666667E8,2.6045686666666666E8,2.4934506666666666E8,2.5521206666666666E8,2.226542E8
80,3.945244666666667E8,2.6147033333333334E8,2.633656E8,2.5778266666666666E8,2.997744E8,2.5733526666666666E8,2.226542E8
81,4.179517333333333E8,3.506694666666667E8,2.5353646666666666E8,2.573058E8,2.576066E8,2.599814E8,2.226542E8
82,5.747996041799303E8,2.5669166666666666E8,3.045152E8,2.5995953333333334E8,2.5223473333333334E8,2.57063E8,2.226542E8
83,4.194044E8,3.057024666666667E8,2.5782293333333334E8,2.5840346666666666E8,2.4848866666666666E8,2.6032226666666666E8,2.226542E8
